"agency_type","call_category","address_city","incident_number","jurisdiction","problem","date_response","address_state","address_zip","day_response","month_response","year_response"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015800","San Diego","Emergency Medical Response","2020-01-29 15:59:55","CA","92110","29","1","2020"
"Fire","FIRE","SAN DIEGO","FS20015799","San Diego","FIRE","2020-01-29 15:59:33","CA","92104","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015798","San Diego","Emergency Medical Response","2020-01-29 15:55:36","CA","92101","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015797","San Diego","Emergency Medical Response","2020-01-29 15:54:49","CA","92115","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015796","San Diego","Emergency Medical Response","2020-01-29 15:53:34","CA","92110","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015794","San Diego","Emergency Medical Response","2020-01-29 15:49:41","CA","92116","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015793","San Diego","Emergency Medical Response","2020-01-29 15:45:22","CA","92129","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015792","San Diego","Emergency Medical Response","2020-01-29 15:42:42","CA","92105","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015791","San Diego","Emergency Medical Response","2020-01-29 15:41:32","CA","92119","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015788","San Diego","Emergency Medical Response","2020-01-29 15:41:28","CA","92139","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015789","San Diego","Emergency Medical Response","2020-01-29 15:41:00","CA","92113","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015787","San Diego","Emergency Medical Response","2020-01-29 15:31:24","CA","92104","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015786","San Diego","Emergency Medical Response","2020-01-29 15:30:46","CA","92173","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015784","San Diego","Emergency Medical Response","2020-01-29 15:20:43","CA","92122","29","1","2020"
"Fire","FIRE","SAN DIEGO","FS20015783","San Diego","FIRE","2020-01-29 15:17:25","CA","92101","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015781","San Diego","Emergency Medical Response","2020-01-29 15:17:16","CA","92129","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015780","San Diego","Emergency Medical Response","2020-01-29 15:09:30","CA","92101","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015779","San Diego","Emergency Medical Response","2020-01-29 15:05:12","CA","92037","29","1","2020"
